slug,name,ascii_name,province,province_name,latitude,longitude,population,feature_class,feature_code
metro-vancouver-regional-district-bc,Metro Vancouver Regional District,Metro Vancouver Regional District,BC,British Columbia,49.33296,-123.00264,3108926,A,ADM2
toronto-on,Toronto,Toronto,ON,Ontario,43.70643,-79.39864,2794356,P,PPLA
montreal-qc,Montréal,Montreal,QC,Quebec,45.50008,-73.68248,2004265,A,ADM2
monteregie-qc,Montérégie,Monteregie,QC,Quebec,45.38338,-73.09915,1507070,A,ADM2
calgary-ab,Calgary,Calgary,AB,Alberta,51.05011,-114.08529,1306784,P,PPL
peel-on,Peel,Peel,ON,Ontario,43.75011,-79.78293,1296814,A,ADM2
york-on,York,York,ON,Ontario,44.00011,-79.46632,1032524,A,ADM2
ottawa-on,Ottawa,Ottawa,ON,Ontario,45.41117,-75.69812,1017449,P,PPLC
edmonton-ab,Edmonton,Edmonton,AB,Alberta,53.55014,-113.46871,1010899,P,PPLA
winnipeg-mb,Winnipeg,Winnipeg,MB,Manitoba,49.8844,-97.14704,749607,P,PPLA
mississauga-on,Mississauga,Mississauga,ON,Ontario,43.5789,-79.6583,717961,P,PPL
toronto-county-on,Toronto county,Toronto county,ON,Ontario,43.69655,-79.42909,670000,A,ADM2
vancouver-bc,Vancouver,Vancouver,BC,British Columbia,49.24966,-123.11934,662248,P,PPL
brampton-on,Brampton,Brampton,ON,Ontario,43.68341,-79.76633,656480,P,PPL
north-york-on,North York,North York,ON,Ontario,43.76681,-79.4163,636000,A,ADM3
durham-on,Durham,Durham,ON,Ontario,44.20012,-78.99957,608124,A,ADM2
scarborough-on,Scarborough,Scarborough,ON,Ontario,43.77223,-79.25666,600000,A,ADM3
hamilton-on,Hamilton,Hamilton,ON,Ontario,43.25011,-79.84963,569353,P,PPL
surrey-bc,Surrey,Surrey,BC,British Columbia,49.10635,-122.82509,568322,P,PPL
quebec-qc,Québec,Quebec,QC,Quebec,46.81228,-71.21454,531902,P,PPLA
halton-on,Halton,Halton,ON,Ontario,43.50011,-79.88294,500000,A,ADM2
lanaudiere-qc,Lanaudière,Lanaudiere,QC,Quebec,46.76678,-73.83248,494796,A,ADM2
halifax-ns,Halifax,Halifax,NS,Nova Scotia,44.64269,-63.57688,471559,P,PPLA
laval-qc,Laval,Laval,QC,Quebec,45.58338,-73.74918,443893,A,ADM2
halifax-regional-municipality-ns,Halifax Regional Municipality,Halifax Regional Municipality,NS,Nova Scotia,44.86685,-63.71541,439819,A,ADM2
chaudiere-appalaches-qc,Chaudière-Appalaches,Chaudiere-Appalaches,QC,Quebec,46.555,-70.8308,433312,A,ADM2
london-on,London,London,ON,Ontario,42.98339,-81.23304,422324,P,PPL
outaouais-qc,Outaouais,Outaouais,QC,Quebec,46.26681,-76.31606,405158,A,ADM2
etobicoke-on,Etobicoke,Etobicoke,ON,Ontario,43.64415,-79.56985,365000,P,PPL
markham-on,Markham,Markham,ON,Ontario,43.86682,-79.2663,338503,P,PPL
vaughan-on,Vaughan,Vaughan,ON,Ontario,43.8361,-79.49827,323103,P,PPL
gatineau-qc,Gatineau,Gatineau,QC,Quebec,45.47723,-75.70164,300045,P,PPL
victoria-bc,Victoria,Victoria,BC,British Columbia,48.4359,-123.35155,289625,P,PPLA
fraser-valley-regional-district-bc,Fraser Valley Regional District,Fraser Valley Regional District,BC,British Columbia,49.58299,-121.83587,277000,A,ADM2
saskatoon-sk,Saskatoon,Saskatoon,SK,Saskatchewan,52.13238,-106.66892,266141,P,PPL
mauricie-qc,Mauricie,Mauricie,QC,Quebec,47.55009,-73.41583,266112,A,ADM2
